invoice_id,job_id,invoice_number,item,type,qty,unit_price_usd,amount_usd
invoice_8c71487fb92e44c1990de98b0a99157c,job_0892bf6b7df744d7abbbabcbd4fe6ea1,5133,Add Ons - Drain package,material,1.0,280.0,280.0
invoice_8edcb43972a54e9881017ffcf608119b,job_e66ffd1d8403471bae31d660a4da1254,5131,Replace PVC Toilet Flange,labor,1.0,775.75,775.75
invoice_9765c5dea7c745a397868edd0d97fe6b,job_8d11ec89fddc4166b1bcf4170a838302,5130,New System Installation - Air Handler Installation,labor,1.0,954.0,954.0
invoice_9765c5dea7c745a397868edd0d97fe6b,job_8d11ec89fddc4166b1bcf4170a838302,5130,Kayla 410a 3T Variable Speed Air Handler,material,1.0,1256.0,1256.0
invoice_94154136db214c49a6b15e46b2f69da1,job_5ab97702f6114b0ca8ec8713a7120e82,5129,New System Installation - System Installation,labor,1.0,1584.0,1584.0
invoice_94154136db214c49a6b15e46b2f69da1,job_5ab97702f6114b0ca8ec8713a7120e82,5129,Service Calls - Repairs & Part Installation - Guarantees,labor,1.0,0.0,0.0
invoice_94154136db214c49a6b15e46b2f69da1,job_5ab97702f6114b0ca8ec8713a7120e82,5129,Service & Repair Fee - After-Hours,labor,1.0,167.0,167.0
invoice_94154136db214c49a6b15e46b2f69da1,job_5ab97702f6114b0ca8ec8713a7120e82,5129,2.5 Ton - BUDGET 14 - Trane 2.5 Ton 14.3 Seer2 (15 SEER) Heat Pump System,material,1.0,8694.0,8694.0
invoice_94154136db214c49a6b15e46b2f69da1,job_5ab97702f6114b0ca8ec8713a7120e82,5129,Add Ons - Drain package,material,1.0,280.0,280.0
invoice_94154136db214c49a6b15e46b2f69da1,job_5ab97702f6114b0ca8ec8713a7120e82,5129,Amberjack Hollow fee,material,1.0,1806.0,1806.0
invoice_288ee3e6e2c04c3687ea8aa799aa211a,job_16ce40ef154445ea998b0f508b2abf0c,5128,Jet Mainline Drain,labor,1.0,646.0,646.0
invoice_077f04cd864f42b8b588fc83c6a7943a,job_ccf52a4be2c9471ab014636b37966e68,5127,Service & Repair Fee - Standard,labor,1.0,98.0,98.0
invoice_077f04cd864f42b8b588fc83c6a7943a,job_ccf52a4be2c9471ab014636b37966e68,5127,Service Calls - Repairs & Part Installation - Tier 2 Repair - Coil clean in place,labor,1.0,94.0,94.0
invoice_3e7300c844f7468bae9d3f3714e74b5f,job_6c39f2d6bf96490ebc265b5d5f3f94cd,5125,System Installation,labor,1.0,1410.0,1410.0
